come, verb, General, A1
comedian, noun, General, B1
comedy, noun, General, B1
comet, noun, General, B1
comfort, noun, General, B1
comfortable, adjective, General, A2
comic, adjective, General, A2
comic, noun, General, A2
comma, noun, General, B1
command, noun, General, B1
comment, noun, General, B1
commercial, adjective, General, B1
commit, verb, General, B1
commitment, noun, General, A2
committee, noun, General, A2
common, adjective, General, A2
common sense, noun, General, B1
commonly, adverb, General, B1
communicate, verb, animals, A2
communication, noun, animals, A2
companion, noun, General, B1
company, noun, work, A2
comparative, noun, General, A2
compare, verb, General, A2
comparison, noun, General, B1
compete, verb, General, B1
competition, noun, General, A2
competitive, adjective, General, B1
competitor, noun, General, B1
complain, verb, General, A2
complaint, noun, General, A2
complement, noun, General, B1
complete, adjective, General, A2
complete, verb, General, B1
completely, adverb, General, B1
complex, adjective, General, B1
complicate, verb, animals, B1
complicated, adjective, animals, B1
compliment, noun, General, B1
compose, verb, General, B1
composer, noun, General, A2
composition, noun, General, B1
compound, noun, General, B1
compromise, noun, General, B1
computer, noun, technology, A1
concentrate, verb, General, A2
concentration, noun, General, B1
concept, noun, General, B1
concern, noun, General, A2
concerned, adjective, General, B1
concert, noun, General, A1
conclude, verb, General, B1
conclusion, noun, General, B1
condition, noun, General, A2
conduct, noun, General, B1
confidence, noun, General, B1
confident, adjective, General, A2
confirm, verb, General, B1
confirmation, noun, General, B1
conflict, noun, General, B1
confuse, verb, General, A2
confused, adjective, General, A2
confusing, adjective, General, B1
confusion, noun, General, B1
congratulate, verb, General, B1
connect, verb, General, B1
connection/connexion, noun, General, B1
conquer, verb, General, B1
conscious, adjective, General, B1
consequence, noun, General, A2
consequently, adverb, General, B1
conservation, noun, General, B1
conservative, adjective, General, B1
consider, verb, General, A2
considerable, adjective, General, B1
consideration, noun, General, B1
consist, verb, General, A2
consonant, noun, General, B1
constantly, adverb, General, B1
constitute, verb, General, B1
constitution, noun, General, B1
construct, verb, General, B1
construction, noun, General, B1
consume, verb, General, B1
consumer, noun, General, B1
consumption, noun, General, B1
contact, noun, General, A2
contact, verb, General, A2
contain, verb, General, B1
container, noun, General, A2
content, noun, General, B1
contest, noun, General, A1
context, noun, General, A2
continent, noun, General, A2
continual, adjective, General, B1
continually, adverb, General, B1
continue, verb, General, A2
continuous, adjective, General, B1
continuously, adverb, General, B1
contrary, adjective, General, B1
contrast, noun, General, A2
contribute, verb, General, B1
contribution, noun, General, B1
control, noun, General, A2
control, verb, General, B1
controversial, adjective, General, B1
convenience, noun, General, A2
convenient, adjective, General, A2
conversation, noun, General, A1
convey, verb, General, B1
convince, verb, General, B1
cook, noun, food, A1
cook, verb, food, A1
cooker, noun, food, A2
cookie, noun, food, A1
cooking, noun, food, A2
cool, adjective, General, A1
cooler, noun, General, A2
cop, noun, General, A1
copy, noun, General, A1
copy, verb, General, A2
copyright, noun, General, B1
corn, noun, General, A1
corner, noun, General, A1
correct, adjective, General, A1
correction, noun, General, B1
